
2024/10/02 (11:08:31) | ===> btop++ v.1.4.0
2024/10/02 (11:08:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (14:43:47) | ===> btop++ v.1.4.0
2024/10/04 (14:43:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (17:36:07) | ===> btop++ v.1.4.0
2024/10/04 (17:36:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (14:52:24) | ===> btop++ v.1.4.0
2024/10/07 (14:52:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (14:53:46) | ===> btop++ v.1.4.0
2024/10/07 (14:53:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (15:04:07) | ===> btop++ v.1.4.0
2024/10/07 (15:04:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (15:05:45) | ===> btop++ v.1.4.0
2024/10/07 (15:05:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (15:22:19) | ===> btop++ v.1.4.0
2024/10/07 (15:22:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (15:28:03) | ===> btop++ v.1.4.0
2024/10/07 (15:28:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (15:33:46) | ===> btop++ v.1.4.0
2024/10/07 (15:33:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (15:34:09) | ===> btop++ v.1.4.0
2024/10/07 (15:34:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (15:48:06) | ===> btop++ v.1.4.0
2024/10/07 (15:48:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (15:50:14) | ===> btop++ v.1.4.0
2024/10/07 (15:50:14) | WARNING: Intel GPU: Failed to initialize PMU
